instancia;arquivo;execucao_global;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;145,951000;145,951000;0,000000;16;21;565;18753,000000;1172,062500;2048,000000;380;280;101,440233;117,210629
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;100299,461000;299,461000;100000,000000;11;22;381;25902,000000;2354,727273;3586,000000;282;182;19,893106;22,260430
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;319,400000;319,400000;0,000000;22;28;757;33063,000000;1502,863636;2146,000000;313;213;114,060393;133,678643
Canberra;.\data\Canberra.bus;4;1;1840268610;1;286,990000;286,990000;0,000000;14;31;499;24583,000000;1755,928571;3378,000000;764;664;77,078986;79,011201
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;500075,860000;75,860000;500000,000000;5;8;156;8763,000000;1752,600000;2280,000000;250;150;38,366655;42,344415
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;1500147,262000;147,262000;1500000,000000;19;24;680;20707,000000;1089,842105;1833,000000;440;340;198,487243;211,261842
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;45,349000;45,349000;0,000000;9;12;320;8300,000000;922,222222;1823,000000;539;496;300,420156;307,559322
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;105,186000;105,186000;0,000000;8;10;274;7832,000000;979,000000;1350,000000;202;102;34,837969;41,401623
Porthcawl;.\data\Porthcawl.bus;9;1;3090095699;1;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;114;14;3,348668;3,564964
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;158,202000;158,202000;0,000000;6;21;209;12295,000000;2049,166667;3115,000000;265;165;6,515794;6,840496
