instancia;arquivo;execucao_global;execucao;seed;threads;rota;melhor_rota_da_execucao;melhor_rota_geral;rota_da_melhor_solucao_global;rota_da_melhor_solucao_instancia;sequencia;numero_paradas;carga_estudantes;distancia_km;tempo_rota_segundos;tempo_total_rotas_execucao_seg;tempo_execucao_algoritmo_seg;tempo_parede_execucao_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;1;nao;nao;nao;sim;"Escola -> Parada 1011 -> Escola";1;19;9,293000;1157,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;2;sim;nao;nao;sim;"Escola -> Parada 194 -> Escola";1;38;3,049000;420,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;3;nao;nao;nao;sim;"Escola -> Parada 964 -> Escola";1;36;3,764000;853,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;4;nao;nao;nao;sim;"Escola -> Parada 69 -> Escola";1;37;3,432000;702,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;5;nao;nao;nao;sim;"Escola -> Parada 1154 -> Escola";1;32;9,279000;1354,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;6;nao;nao;nao;sim;"Escola -> Parada 29 -> Escola";1;37;5,718000;861,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;7;nao;nao;nao;sim;"Escola -> Parada 624 -> Parada 848 -> Escola";2;35;7,872000;1075,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;8;nao;nao;nao;sim;"Escola -> Parada 248 -> Escola";1;36;8,219000;1275,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;9;nao;nao;nao;sim;"Escola -> Parada 810 -> Escola";1;40;12,431000;1345,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;10;nao;nao;nao;sim;"Escola -> Parada 353 -> Parada 285 -> Escola";2;39;18,079000;2470,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;11;nao;nao;nao;sim;"Escola -> Parada 236 -> Parada 210 -> Parada 102 -> Escola";3;40;13,152000;1379,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;12;nao;nao;nao;sim;"Escola -> Parada 865 -> Escola";1;26;10,426000;1166,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;13;nao;nao;nao;sim;"Escola -> Parada 226 -> Escola";1;31;12,047000;1343,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;14;nao;nao;nao;sim;"Escola -> Parada 539 -> Escola";1;40;13,449000;1504,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;15;nao;nao;nao;sim;"Escola -> Parada 1085 -> Escola";1;40;9,747000;1237,000000;19541,000000;60,092515;72,655890
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;16;nao;nao;nao;sim;"Escola -> Parada 850 -> Escola";1;39;11,894000;1400,000000;19541,000000;60,092515;72,655890
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;1;nao;nao;nao;sim;"Escola -> Parada 190 -> Parada 616 -> Escola";2;35;45,369000;2978,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;2;nao;nao;nao;sim;"Escola -> Parada 429 -> Parada 246 -> Parada 149 -> Escola";3;40;34,195000;3024,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;3;nao;nao;nao;sim;"Escola -> Parada 232 -> Escola";1;35;25,898000;2261,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;4;nao;nao;nao;sim;"Escola -> Parada 62 -> Escola";1;37;24,883000;2160,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;5;nao;nao;nao;sim;"Escola -> Parada 606 -> Escola";1;30;20,845000;1933,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;6;nao;nao;nao;sim;"Escola -> Parada 556 -> Parada 91 -> Escola";2;21;22,822000;2131,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;7;nao;nao;nao;sim;"Escola -> Parada 272 -> Escola";1;36;23,326000;2190,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;8;nao;nao;nao;sim;"Escola -> Parada 424 -> Escola";1;41;23,458000;2194,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;9;nao;nao;nao;sim;"Escola -> Parada 249 -> Parada 505 -> Parada 112 -> Parada 391 -> Parada 324 -> Escola";5;40;39,480000;3586,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;10;nao;nao;nao;sim;"Escola -> Parada 288 -> Escola";1;39;24,479000;2146,000000;25902,000000;23,711959;26,677286
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;11;sim;nao;nao;sim;"Escola -> Parada 188 -> Parada 299 -> Escola";2;27;14,706000;1299,000000;25902,000000;23,711959;26,677286
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;1;nao;nao;nao;sim;"Escola -> Parada 1321 -> Parada 1479 -> Parada 1449 -> Escola";3;26;14,119000;1638,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;2;nao;nao;nao;sim;"Escola -> Parada 874 -> Escola";1;40;10,379000;1233,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;3;nao;nao;nao;sim;"Escola -> Parada 507 -> Escola";1;32;14,017000;1581,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;4;nao;nao;nao;sim;"Escola -> Parada 445 -> Escola";1;37;10,550000;1275,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;5;nao;nao;nao;sim;"Escola -> Parada 738 -> Escola";1;39;13,645000;1499,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;6;sim;nao;nao;sim;"Escola -> Parada 293 -> Escola";1;33;7,226000;879,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;7;nao;nao;nao;sim;"Escola -> Parada 784 -> Escola";1;31;9,211000;1067,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;8;nao;nao;nao;sim;"Escola -> Parada 716 -> Escola";1;37;12,382000;1280,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;9;nao;nao;nao;sim;"Escola -> Parada 1415 -> Escola";1;39;23,546000;2146,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;10;nao;nao;nao;sim;"Escola -> Parada 1383 -> Escola";1;27;19,796000;1958,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;11;nao;nao;nao;sim;"Escola -> Parada 1122 -> Escola";1;38;15,723000;1678,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;12;nao;nao;nao;sim;"Escola -> Parada 250 -> Escola";1;37;10,383000;1054,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;13;nao;nao;nao;sim;"Escola -> Parada 928 -> Parada 623 -> Escola";2;36;20,182000;1882,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;14;nao;nao;nao;sim;"Escola -> Parada 177 -> Parada 122 -> Escola";2;37;14,117000;1360,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;15;nao;nao;nao;sim;"Escola -> Parada 1019 -> Escola";1;32;11,937000;1351,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;16;nao;nao;nao;sim;"Escola -> Parada 889 -> Escola";1;39;10,036000;1065,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;17;nao;nao;nao;sim;"Escola -> Parada 1067 -> Escola";1;30;13,849000;1599,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;18;nao;nao;nao;sim;"Escola -> Parada 1347 -> Escola";1;40;12,933000;1373,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;19;nao;nao;nao;sim;"Escola -> Parada 606 -> Parada 628 -> Escola";2;38;23,413000;2137,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;20;nao;nao;nao;sim;"Escola -> Parada 1504 -> Escola";1;29;8,140000;936,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;21;nao;nao;nao;sim;"Escola -> Parada 1367 -> Escola";1;21;23,239000;2058,000000;33117,000000;60,124758;79,270475
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;22;nao;nao;nao;sim;"Escola -> Parada 1372 -> Escola";1;39;20,894000;2068,000000;33117,000000;60,124758;79,270475
Canberra;.\data\Canberra.bus;4;1;1840268610;1;1;nao;nao;nao;sim;"Escola -> Parada 58 -> Escola";1;37;18,437000;1299,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;2;nao;nao;nao;sim;"Escola -> Parada 303 -> Parada 169 -> Parada 249 -> Escola";3;39;14,157000;1719,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;3;nao;nao;nao;sim;"Escola -> Parada 245 -> Parada 317 -> Parada 229 -> Parada 84 -> Escola";4;40;24,011000;1990,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;4;nao;nao;nao;sim;"Escola -> Parada 175 -> Escola";1;40;13,153000;1275,000000;24583,000000;32,015296;32,533267
Canberra;.\data\Canberra.bus;4;1;1840268610;1;5;nao;nao;nao;sim;"Escola -> Parada 302 -> Parada 200 -> Escola";2;29;12,359000;1178,000000;24583,000000;32,015296;32,533267
