instancia;arquivo;execucao_global;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;151,851000;151,851000;0,000000;16;24;565;19541,000000;1221,312500;2470,000000;177;176;60,092515;72,655890
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;100299,461000;299,461000;100000,000000;11;22;381;25902,000000;2354,727273;3586,000000;282;182;23,711959;26,677286
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;319,717000;319,717000;0,000000;22;28;757;33117,000000;1505,318182;2146,000000;189;153;60,124758;79,270475
Canberra;.\data\Canberra.bus;4;1;1840268610;1;286,990000;286,990000;0,000000;14;31;499;24583,000000;1755,928571;3378,000000;764;664;32,015296;32,533267
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;500075,860000;75,860000;500000,000000;5;8;156;8763,000000;1752,600000;2280,000000;250;150;17,139761;19,506529
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;1500155,291000;155,291000;1500000,000000;20;23;680;22042,000000;1102,100000;1740,000000;280;271;60,039909;66,680985
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;600045,768000;45,768000;600000,000000;9;11;320;8125,000000;902,777778;1360,000000;151;125;60,138332;65,044743
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;105,186000;105,186000;0,000000;8;10;274;7832,000000;979,000000;1350,000000;202;102;18,216276;20,774908
Porthcawl;.\data\Porthcawl.bus;9;1;3090095699;1;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;114;14;2,875577;3,079461
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;158,202000;158,202000;0,000000;6;21;209;12295,000000;2049,166667;3115,000000;265;165;5,656258;5,898223
