instancia;arquivo;execucao_global;execucao;seed;threads;rota;melhor_rota_da_execucao;melhor_rota_geral;rota_da_melhor_solucao_global;rota_da_melhor_solucao_instancia;sequencia;numero_paradas;carga_estudantes;distancia_km;tempo_rota_segundos;tempo_total_rotas_execucao_seg;tempo_execucao_algoritmo_seg;tempo_parede_execucao_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;1;nao;nao;nao;sim;"Escola -> Parada 764 -> Escola";1;32;4,666000;976,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;2;nao;nao;nao;sim;"Escola -> Parada 429 -> Escola";1;26;12,082000;1451,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;3;nao;nao;nao;sim;"Escola -> Parada 1060 -> Escola";1;36;3,763000;897,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;4;nao;nao;nao;sim;"Escola -> Parada 733 -> Escola";1;37;12,289000;1278,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;5;nao;nao;nao;sim;"Escola -> Parada 206 -> Parada 637 -> Escola";2;35;11,402000;1411,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;6;nao;nao;nao;sim;"Escola -> Parada 227 -> Escola";1;31;12,455000;1375,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;7;nao;nao;nao;sim;"Escola -> Parada 525 -> Parada 633 -> Escola";2;40;10,911000;1355,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;8;nao;nao;nao;sim;"Escola -> Parada 664 -> Escola";1;35;10,760000;1355,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;9;nao;nao;nao;sim;"Escola -> Parada 390 -> Escola";1;40;5,087000;789,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;10;sim;nao;nao;sim;"Escola -> Parada 1053 -> Escola";1;35;2,994000;524,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;11;nao;nao;nao;sim;"Escola -> Parada 298 -> Parada 647 -> Escola";2;38;12,319000;1429,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;12;nao;nao;nao;sim;"Escola -> Parada 330 -> Escola";1;33;6,633000;778,000000;18865,000000;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;13;nao;nao;nao;sim;"Escola -> Parada 747 -> Escola";1;36;6,805000;1066,000000;18865,000000;144,015538;156,415753
