instancia;arquivo;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Adelaide;.\data\Adelaide.bus;1;2991312382;1;150.144000;150.144000;0.000000;16;23;565;19601.000000;1225.062500;2639.000000;199;196;60.056375;71.839206
Adelaide;.\data\Adelaide.bus;2;3062119789;1;163.091000;163.091000;0.000000;18;21;565;20875.000000;1159.722222;1916.000000;130;130;61.165200;69.044551
Adelaide;.\data\Adelaide.bus;3;1228959102;1;155.078000;155.078000;0.000000;18;23;565;20888.000000;1160.444444;1858.000000;234;216;60.027119;73.725387
Adelaide;.\data\Adelaide.bus;4;1840268610;1;156.835000;156.835000;0.000000;16;24;565;20242.000000;1265.125000;2024.000000;159;153;60.014741;70.620642
Adelaide;.\data\Adelaide.bus;5;974319580;1;161.098000;161.098000;0.000000;16;24;565;20634.000000;1289.625000;2439.000000;233;224;60.031321;73.712767
Adelaide;.\data\Adelaide.bus;6;2967327842;1;142.172000;142.172000;0.000000;16;21;565;18922.000000;1182.625000;1728.000000;234;233;60.019601;73.409700
Adelaide;.\data\Adelaide.bus;7;2367878886;1;150.019000;150.019000;0.000000;17;23;565;20124.000000;1183.764706;1830.000000;175;165;60.091493;68.847822
Adelaide;.\data\Adelaide.bus;8;3088727057;1;165.525000;165.525000;0.000000;17;22;565;21030.000000;1237.058824;2022.000000;227;196;60.201844;71.569153
Adelaide;.\data\Adelaide.bus;9;3090095699;1;164.226000;164.226000;0.000000;17;26;565;21037.000000;1237.470588;2606.000000;213;150;60.129309;72.360983
Adelaide;.\data\Adelaide.bus;10;2109339754;1;157.102000;157.102000;0.000000;16;24;565;20013.000000;1250.812500;2483.000000;161;161;60.049200;70.335339
Bridgend;.\data\Bridgend.bus;1;1817228411;1;100293.114000;293.114000;100000.000000;10;22;381;25640.000000;2564.000000;3697.000000;414;314;25.088606;27.756962
Bridgend;.\data\Bridgend.bus;2;3350193721;1;100294.227000;294.227000;100000.000000;10;23;381;25846.000000;2584.600000;4387.000000;294;265;60.031695;64.259018
Bridgend;.\data\Bridgend.bus;3;4212350166;1;100302.422000;302.422000;100000.000000;11;19;381;26403.000000;2400.272727;3490.000000;248;148;37.675347;44.250824
Bridgend;.\data\Bridgend.bus;4;1764906721;1;100312.300000;312.300000;100000.000000;11;21;381;27915.000000;2537.727273;3713.000000;319;316;60.023431;67.130613
Bridgend;.\data\Bridgend.bus;5;2941321312;1;100305.665000;305.665000;100000.000000;10;21;381;26822.000000;2682.200000;4910.000000;162;62;29.560678;35.962146
Bridgend;.\data\Bridgend.bus;6;2489768049;1;600285.512000;285.512000;600000.000000;10;21;381;25141.000000;2514.100000;3457.000000;340;312;60.070071;66.468156
Bridgend;.\data\Bridgend.bus;7;2065586814;1;100291.185000;291.185000;100000.000000;10;21;381;25727.000000;2572.700000;3658.000000;399;299;39.229214;44.832659
Bridgend;.\data\Bridgend.bus;8;601083951;1;100293.153000;293.153000;100000.000000;10;22;381;24960.000000;2496.000000;3623.000000;574;474;37.902852;40.340705
Bridgend;.\data\Bridgend.bus;9;1684131913;1;100295.458000;295.458000;100000.000000;10;20;381;26092.000000;2609.200000;3387.000000;318;310;60.000394;70.596604
Bridgend;.\data\Bridgend.bus;10;1722357280;1;100278.360000;278.360000;100000.000000;10;20;381;24873.000000;2487.300000;3777.000000;637;600;60.044306;63.856872
Brisbane;.\data\Brisbane.bus;1;1473938350;1;325.946000;325.946000;0.000000;23;28;757;34335.000000;1492.826087;2236.000000;201;198;60.118712;80.804544
Brisbane;.\data\Brisbane.bus;2;2694306016;1;317.908000;317.908000;0.000000;22;29;757;34259.000000;1557.227273;2406.000000;262;191;60.233809;77.436540
Brisbane;.\data\Brisbane.bus;3;3131244655;1;330.237000;330.237000;0.000000;23;28;757;34470.000000;1498.695652;2798.000000;191;185;60.301958;90.962791
Brisbane;.\data\Brisbane.bus;4;1392217497;1;319.928000;319.928000;0.000000;22;32;757;34222.000000;1555.545455;2427.000000;187;182;60.016765;86.489673
Brisbane;.\data\Brisbane.bus;5;1883653459;1;317.011000;317.011000;0.000000;21;29;757;33261.000000;1583.857143;2615.000000;198;194;60.281816;90.457703
