instancia;numero_execucoes;melhor_funcao_objetivo;media_funcao_objetivo;pior_funcao_objetivo;desvio_padrao_funcao_objetivo;media_numero_rotas;media_paradas_selecionadas;media_tempo_algoritmo_seg;media_tempo_total_rotas_seg;media_maior_tempo_rota_seg;melhor_seed
Adelaide;10;142.172000;156.529000;165.525000;7.422987;16.700000;23.100000;60.178621;20336.600000;2154.500000;2967327842
Bridgend;10;100278.360000;150295.139600;600285.512000;158110.500480;10.200000;21.000000;46.962660;25941.900000;3809.900000;1722357280
Brisbane;10;314.777000;321.744600;331.578000;6.188609;22.200000;29.400000;60.154936;33950.400000;2469.000000;2550791376
Canberra;10;279.201000;296.795100;316.157000;11.011832;14.500000;29.700000;20.700771;25328.100000;3164.300000;359602516
Cardiff;10;500073.644000;500076.586000;500078.396000;1.338806;4.800000;8.200000;10.859716;8549.800000;2398.500000;2724731384
Edinburgh-1;10;148.507000;790155.913600;1700156.423000;652262.259578;19.400000;24.700000;58.687023;22245.300000;2049.100000;4243407436
Edinburgh-2;10;39.751000;70043.647300;400047.779000;149444.710563;9.400000;11.000000;59.166362;7980.500000;1432.500000;3337208645
MiltonKeynes;10;98.226000;104.804200;109.089000;2.853748;7.900000;10.400000;20.246454;7787.600000;1326.800000;3222851995
Porthcawl;10;25.483000;25.522200;25.765000;0.088322;2.200000;3.200000;2.344391;2626.200000;1488.000000;2441391258
Suffolk;10;153.577000;163.434700;183.323000;9.510570;6.100000;22.300000;6.036288;12373.100000;2742.800000;2128121018
